Product,Category,Score,Sugar,Additives,Contaminants,Transparency,Notes,Source_URL
Mott's 100% Apple Juice,Juice,D,High,Low,Arsenic/heavy metals: category concern,Medium,Public concern category: apple juice has been monitored for inorganic arsenic. Verify brand-specific data before publishing.,https://www.fda.gov/food/environmental-contaminants-food/lead-food-foodwares-and-dietary-supplements
Great Value Apple Juice,Juice,D,High,Low,Arsenic/heavy metals: category concern,Low,Private-label juice. Use as comparison target; verify lot/product data.,https://www.fda.gov/food/metals-and-your-food
Welch's Grape Juice,Juice,C,High,Low,Heavy metals: category concern,Medium,High natural sugar; contaminant claims require source confirmation.,https://www.fda.gov/food/total-diet-study
Capri Sun Fruit Punch,Juice Drink,D,High,Medium,No public product-specific contaminant data,Medium,Juice drink; score driven by sugar and processing.,https://fdc.nal.usda.gov/
Minute Maid Apple Juice,Juice,D,High,Low,Arsenic/heavy metals: category concern,Medium,Category concern; avoid product-specific claim until verified.,https://www.fda.gov/food/metals-and-your-food
Barefoot Chardonnay,Wine,D,Unknown,Sulfites,Arsenic: category concern in some wine testing,Low,Alcohol lacks full nutrition labeling; contaminant claims require verified testing.,https://www.ttb.gov/wine/labeling
Yellow Tail Chardonnay,Wine,D,Unknown,Sulfites,Arsenic: category concern in some wine testing,Low,Use 'disclosure gap' language unless lab results are available.,https://www.ttb.gov/labeling/labeling-resources
Gallo Family Vineyards Cabernet Sauvignon,Wine,D,Unknown,Sulfites,No public product-specific contaminant data,Low,"Wine scoring focuses on disclosure, sulfites, and lack of nutrition panel.",https://www.ttb.gov/wine/labeling
Franzia Chardonnay,Wine,D,Unknown,Sulfites,No public product-specific contaminant data,Low,Bulk wine; transparency score should remain conservative.,https://www.ttb.gov/wine/labeling
Beringer Main & Vine White Zinfandel,Wine,D,Unknown,Sulfites,No public product-specific contaminant data,Low,Alcoholic beverage; do not use classic Nutri-Score; use disclosure score.,https://www.ttb.gov/labeling/labeling-resources
Kellogg's Frosted Flakes,Cereal,D,High,Medium,No public product-specific contaminant data,Medium,Score driven by sugar and processing.,https://fdc.nal.usda.gov/
Kellogg's Corn Flakes,Cereal,C,Low,Medium,No public product-specific contaminant data,Medium,Lower sugar than many cereals; sodium/additives affect score.,https://world.openfoodfacts.org/
General Mills Cheerios,Cereal,B,Low,Low,No public product-specific contaminant data,Medium,Simple cereal; verify glyphosate claims before publication.,https://fdc.nal.usda.gov/
Cinnamon Toast Crunch,Cereal,D,High,Medium,No public product-specific contaminant data,Medium,High sugar cereal; strong viral comparison category.,https://fdc.nal.usda.gov/
Quaker Instant Oatmeal Maple & Brown Sugar,Oatmeal,C,Medium,Medium,No public product-specific contaminant data,Medium,Better than candy cereals but added sugar matters.,https://fdc.nal.usda.gov/
